"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
","""<h4>Contract Template Example</h4>\
|<pre>Contract for Customer {{ party_name }}\
|-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>\
|<h4>How to get fieldnames</h4>\
|<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customise Form View and selecting the document type (e.g. Contract)</p>\
|<h4>Templating</h4>\
|<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja	 <a class=""""strong"""" href=""""http://jinja.pocoo.org/docs/dev/templates/"""">read this documentation.</a></p>""",
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>",```,
"<h5 class=""text-muted uppercase"">Or</h5>",<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",A Holiday List can be added to exclude counting these days for the Workstation.,
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
",A Job Requisition for {0} requested by {1} already exists: {2}.,
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
",A Packing Slip can only be created for Draft Delivery Note.,
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","""A Price List is a collection of Item Prices, either Selling, Buying, or both.""",
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","""A Product or a Service that is bought, sold, or kept in stock.""",
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>",A Reconciliation Job {0} is running for the same filters. Cannot reconcile now.,
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,A file with the same name {} already exists.,
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens",A recurring {0} {1} has been created for you via Auto Repeat {2}.,
A featured post must have a cover image,A3,
A field with the name {0} already exists in {1},A4,
A file with same name {} already exists,A5,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,A7,
A new account has been created for you at {0},A9,
A recurring {0} {1} has been created for you via Auto Repeat {2}.,AB-,
A symbol for this currency. For e.g. $,ACC-ADS-.YYYY.-,
A template already exists for field {0} of {1},ACC-AML-.YYYY.-,
A word by itself is easy to guess.,ACC-ASR-.YYYY.-,
A0,ACC-PAY-.YYYY.-,
A1,ACC-PINV-.YYYY.-,
A2,ACC-PINV-RET-.YYYY.-,
A3,ACC-PRQ-.YYYY.-,
A4,ACC-PSINV-.YYYY.-,
A5,ACC-SH-.YYYY.-,
A6,ACC-SINV-.YYYY.-,
A7,ACC-SINV-RET-.YYYY.-,
A8,ALL,
A9,AMC Expiry Date,
ALL,About Us,
API,About Us Team Member,
API Access,About {0} minute remaining.,
API Endpoint,About {0} seconds remaining.,
API Endpoint Args,Above 120 Days,
API Key,Absent,
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,Absent Days,
API Key cannot be regenerated,Absent Records,
API Method,Academics User,
API Secret,Acceptance Criteria Formula,
ASC,Acceptance Criteria Value,
About,Access Key,
About Us,Access Key ID,
About Us Settings,Access Key Secret,
About Us Team Member,Access Key is required for Service Provider: {0}.,
About {0} minute remaining,Access Log,
About {0} minutes remaining,Access Token,
About {0} seconds remaining,Access Token URL,
Access Control,Account Manager,
Access Key ID,Account Name,
Access Key Secret,Account No,
Access Log,Account Number,
Access Token,Account Number {0} already used in account {1}.,
Access Token URL,Account Opening Balance,
Access not allowed from this IP Address,Account Paid From,
Account,Account Subtype,
Account Deletion Settings,Account is mandatory to get payment entries.,
Accounts Manager,Action If Same Rate is Not Maintained,
Accounts User,Action if Same Rate is Not Maintained Throughout Sales Cycle,
Action,Activity,
Action / Route,Activity Cost,
Action Complete,Activity Cost exists for Employee {0} against Activity Type - {1},
Action Failed,Activity Cost per Employee,
Action Label,Actual Amount,
Action Timeout (Seconds),Actual Balance Qty,
Action Type,Actual Batch Quantity,
Action {0} completed successfully on {1} {2}. View it {3},Actual Operating Cost,
Action {0} failed on {1} {2}. View it {3},Actual Operation Time,
Actions,Actual Posting,
Activate,Actual Qty (at source/target),
Active,Actual Qty in Warehouse,
Active Directory,Actual Qty is mandatory,
Active Domains,Actual Qty {0} / Waiting Qty {1},
Active Sessions,Actual Quantity,
Activity,Actual Start Time,
Activity Log,Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.,
Add,Add Items,
Add / Remove Columns,Add Lead to Prospect,
Add / Update,Add Leads,
Add A New Rule,Add Local Holidays,
Add Attachment,Add Manually,
Add Background Image,Add Multiple,
Add Border at Bottom,Add Multiple Tasks,
Add Border at Top,Add New,
Add Card to Dashboard,Add New Permission Rule,
Add Chart to Dashboard,Add Or Deduct,
Add Child,Add Order Discount,
Add Column,Add Participants,
Add Contact,Add Raw Materials,
Add Contacts,Add Review,
Add Container,Add Roles,
Add Custom Tags,Add Sales Partners,
Add Filters,Add Stock,
Add Gray Background,Add Sub Assembly,
Add Group,Add Subscribers,
Add Indexes,Add Suppliers,
Add Multiple,Add Video Conferencing,
Add New,Add a Filter,
Add New Permission Rule,Add a New Role,
Add Participants,Add a comment,
Add Query Parameters,Add a new section,
Add Review,Add a row at the top,
Add Roles,Add a row below the current row,
Add Row,Add a {0} Chart,
Add Signature,Add new tab,
Add Space at Bottom,Add or Deduct,
Add Space at Top,Add page break,
Add Subscribers,Add section below,
Add Tags,Add the rest of your organisation as your users. You can also invite customers to your portal by adding them from Contacts,
Add Template,Add to Dashboard,
Add Total Row,Add to Holidays,
Add Translate Data,Add to Prospect,
Add Unsubscribe Link,Add to ToDo,
Add User Permissions,Add to Transit,
Add Video Conferencing,Add to table,
Add a Filter,Add unused leaves from previous allocations,
Add a New Role,Add unused leaves from previous leave period's allocation to this allocation,
Add a Row,Add/Edit Coupon Conditions,
Add a comment,Add/Update Filter,
Add a new section,Added,
Add a row above the current row,Added By,
Add a row at the bottom,Added HTML in the &lt;head&gt; section of the web page primarily used for website verification and SEO,
Add a row at the top,Added On,
Add a row below the current row,Added Supplier Role to User {0}.,
Add a {0} Chart,Added default log doctypes: {},
Add column,Added tax components from the Salary Component master as the salary structure didn't have any tax component.,
Add field,Added {0},
Add new tab,Added {1} Role to User {0}.,
Add page break,Additional,
Add script for Child Table,Additional Amount,
Add section above,Additional Asset Cost,
Add section below,Additional Cost,
Add tab,Additional Cost Per Qty,
Add to Dashboard,Additional Data,
Add to ToDo,Additional Discount Amount (Company Currency),
Add to table,Additional Info,
Add to this activity by mailing to {0},Additional Information,
Add {0},Additional Operating Cost,Primary action in list view
Add/Update Filter,Additional Permissions,
Added,Additional Salary,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",Additional Salary for referral bonus can only be created against Employee Referral with status {0},
Added default log doctypes: {},Additional information regarding the customer.,
Added {0},Address Title,
Added {0} ({1}),Address Title is mandatory.,
Additional Permissions,Advance,
Address,Advance Payment Ledger Entry,
Address And Contacts,Advance Reconciliation Takes Effect On,
Address Line 1,Advance amount,
Address Line 2,Advance amount cannot be greater than {0} {1},
Address Template,Advance payments allocated against orders will only be fetched,
Address Title,Advanced,
Address Title is mandatory.,Advanced Control,
Address Type,Advanced Filters,
Address and other legal information you may want to put in the footer.,Advances,
Addresses,After Delete,
Addresses And Contacts,After Discard,
Adds a custom client script to a DocType,After Insert,
Adds a custom field to a DocType,After Rename,
Administration,After Submit,
Administrator,Against Account,
Administrator Logged In,Against Blanket Order,
Administrator accessed {0} on {1} via IP Address {2}.,Against Customer Order {0},
Administrator can't follow,Against Default Supplier,
Advanced,Against Voucher Type,
Advanced Control,Age,
Advanced Search,Age ({0}),
Advanced Settings,Ageing Based On,
After,Agenda,
After Cancel,Agent Busy Message,
After Delete,Agent Details,
After Discard,Agent Group,
After Insert,Agent Unavailable Message,
After Rename,Agents,
After Save,Aggregate Field is required to create a number card,
After Save (Submitted Document),Aggregate Function Based On,
After Submission,Aggregate Function field is required to create a dashboard chart,
After Submit,Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,
Aggregate Field is required to create a number card,All Time,
Aggregate Function Based On,All Warehouses,
Aggregate Function field is required to create a dashboard chart,All allocated assets should be returned before submission,
Alert,All fields are necessary to submit the comment.,
Align,All items have already been Invoiced/Returned,
Align Labels to the Right,All items have already been received,
Align Right,All items have already been transferred for this Work Order.,
Align Value,All items in this document already have a linked Quality Inspection.,
All,"""All possible Workflow States and roles of the workflow. Docstatus Options: 0 is """"Saved""""  1 is """"Submitted"""" and 2 is """"Cancelled""""""",
All Day,Allocate Advances Automatically (FIFO),
All Images attached to Website Slideshow should be public,Allocate Payment Amount,
All Records,Allocated Amount,
All Results,Allocated Entries,
All Submissions,Allocated amount,
All Time,Allocating Leave,
All customizations will be removed. Please confirm.,Allow Zero Rate,
All fields are necessary to submit the comment.,Allow Zero Valuation Rate,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",Allow editing after submit,
All-uppercase is almost as easy to guess as all-lowercase.,Allow material consumptions without immediately manufacturing finished goods against a Work Order,
Allocated To,Allow user to login only before this hour (0-24),
Allot Points To Assigned Users,Allowed embedding domains,
Allow,Allowing DocType DocType. Be careful!,
Allow API Indexing Access,Allows allocating more leaves than the number of days in the allocation period.,
Allow Auto Repeat,Already in the following Users ToDo list:{0},
Allow Bulk Edit,Already record exists for the item {0},
Allow Bulk Editing,Already set default in pos profile {0} for user {1} kindly disabled default,
Allow Dropbox Access,Alternate Item,
Allow Google Calendar Access,Alternative Items,
Allow Google Contacts Access,Alternative item must not be same as item code,
Allow Google Drive Access,Alternatively you can download the template and fill your data in.,
Allow Guest,Always BCC Address,
Allow Guest to View,"""Always add """"Draft"""" Heading for printing draft documents""",
Allow Guest to comment,Always use this email address as sender address,
Allow Guests to Upload Files,Always use this name as sender name,
Allow Import (via Data Import Tool),Amend,
Allow Login After Fail,Amendment naming rules updated.,
Allow Login using Mobile Number,Amount,
Allow Login using User Name,Amount (AUD),
Allow Modules,Amount Delivered,
Allow Older Web View Links (Insecure),Amount in Account Currency,
Allow Print for Cancelled,Amount must be greater than 0.,
Allow Print for Draft,Amount of expense,
Allow Read On All Link Options,Amount to Bill,
Allow Rename,Amount {0} {1} against {2} {3},
Allow Roles,Amounts,
Allow Self Approval,An error has occurred while reposting item valuation via {0},
Allow Sending Usage Data for Improving Applications,An error occurred during the payment process. Please contact us.,
Allow approval for creator of the document,Annual Allocation,
Allow comments,Annual Billing: {0},
Allow delete,Annual Expenses,
Allow document creation via Email,Annual Income,
Allow editing after submit,Annual Revenue,
Allow events in timeline,Annual Taxable Amount,
Allow in Quick Entry,Anonymous responses,
Allow incomplete forms,Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},
Allow multiple responses,Another Sales Person {0} exists with the same Employee id,
Allow on Submit,Another transaction is blocking this one. Please try again in a few seconds.,
Allow only one session per user,Another {0} with name {1} exists select another name,
Allow page break inside tables,Any one of the following filters required: warehouse Item Code Item Group,
Allow print,Any other details,
Allow saving if mandatory fields are not filled,Any other remarks noteworthy effort that should go in the records,
Allow sending usage data for improving applications,Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,
Allow user to login only after this hour (0-24),App Client Secret,
Allow user to login only before this hour (0-24),App ID,
"Allow users to log in without a password, using a login link sent to their email",App Logo,
Allowed,App Name,
Allowed File Extensions,App {0} is not installed,
Allowed In Mentions,Append Emails to Sent Folder,
Allowed Modules,Append To,
Allowed Roles,Append To can be one of {0},
Allowed embedding domains,Applicable Charges,
"Allowing DocType, DocType. Be careful!",Applicable Document Types,
Already Registered,Applicable Modules,
Already in the following Users ToDo list:{0},Applicable On Account,
Also adding the dependent currency field {0},Applicable To (Role),
Also adding the status dependency field {0},Applicable To (User),
Alternative Email ID,Applicable for external driver,
Always BCC Address,Applicable on Purchase Order,
"Always add ""Draft"" Heading for printing draft documents",Applicable on booking actual expenses,
Always use this email address as sender address,Applicant Email Address,
Always use this name as sender name,Applicant Name,
Amend,Applicant Rating,
Amend Counter,Applicant for a Job,
Amended Document Naming Settings,Applicant name,
Amended Documents,Application Logo,
Amended From,Application Name,
Amending,Application Status,Freeze message while amending a document
Amendment Naming Override,Application Version,
Amendment Not Allowed,Application of Funds (Assets),
Amendment naming rules updated.,Application period cannot be across two allocation records,
An error occurred while setting Session Defaults,Apply restriction on dimension values,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Apply this rule if the User is the Owner,
An unexpected error occurred while authorizing {}.,Apply this rule only once per document,
Analytics,Apply to Document,
Ancestors Of,Apply to all Documents Types,
Announcement Widget,Applying: {0},
Announcements,Appointment,
Annual,Appointment Booking Settings,
Anonymization Matrix,Appointment Letter content,
Anonymous responses,Appointment Scheduling Disabled,
Another transaction is blocking this one. Please try again in a few seconds.,Appraisal Cycle,
"Another {0} with name {1} exists, select another name",Appraisal Goal,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Appraisal Template,
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",Appraisal Template Goal,
App,Appraisal Template Missing,
App Access Key,Appraisal Template Title,
App Access Key and/or Secret Key are not present.,Appraisal Template not found for some designations.,
App Client ID,Appraisal creation is queued. It may take a few minutes.,
App Client Secret,Appraisal {0} already exists for Employee {1} for this Appraisal Cycle or overlapping period,
App ID,Appraisal {0} does not belong to Employee {1},
App Logo,Appraisee,
App Name,Appraisees: {0},
App Secret Key,Appreciate,
App not found for module: {0},Appreciation,
App {0} is not installed,Apprentice,
Append Emails to Sent Folder,Approval,
Append To,Approval Required,
Append To can be one of {0},Approval Status,
"Append as communication against this DocType (must have fields: ""Sender"" and ""Subject""). These fields can be defined in the email settings section of the appended doctype.",Approval Status must be 'Approved' or 'Rejected',
Applicable Document Types,Approver,
Applicable For,Approving Role (above authorised value),
Application Logo,Are you sure you want to generate a new report?,
Application Name,Are you sure you want to merge {0} with {1}?,
Application Version,Are you sure you want to re-enable the scheduler?,
Applied On,Are you sure you want to save this document?,
Apply,As on Date,
Apply Assignment Rule,"""As per your request, your account and data on {0} associated with email {1} have been permanently deleted.""",Button in list view actions menu
Apply Filters,"""As there is negative stock, you cannot enable {0}.""",
Apply Only Once,"""As {0} is enabled, you cannot enable {1}.""",
Apply Strict User Permissions,Asset Capitalisation Stock Item,
Apply To,Asset Category is mandatory for Fixed Asset item.,
Apply To All Document Types,Asset Depreciation Cost Centre,
Apply User Permission On,Asset Depreciation Details,
Apply document permissions,Asset Depreciation Ledger,
Apply this rule if the User is the Owner,Asset Depreciation Schedule for Asset {0} and Finance Book {1} is not using shift-based depreciation.,
Apply this rule only once per document,Asset Depreciation Schedule not found for Asset {0} and Finance Book {1}.,
Apply to all Documents Types,"""Asset Depreciation Schedules created:<br>{0}<br><br>Please check, edit if needed, and submit the Asset.""",
Applying: {0},Asset Depreciations and Balances,
Appreciate,Asset cancelled,
Appreciation,Asset cannot be cancelled as it is already {0}.,
Approval Required,Asset created,
Apps,Asset sold,
Ar,Asset transferred to Location {0}.,Number system
Archive,Asset updated after being split into Asset {0}.,
Archived,Asset updated after cancellation of Asset Repair {0}.,
Archived Columns,Asset updated after completion of Asset Repair {0}.,
Are you sure you want to clear the assignments?,Asset {0} cannot be scrapped as it is already {1}.,
Are you sure you want to delete all rows?,Asset {0} does not belong to Item {1}.,
Are you sure you want to delete the attachment?,Asset {0} does not belong to the custodian {1}.,
Are you sure you want to delete the column? All the fields in the column will be moved to the previous column.,Asset {0} does not belong to the location {1}.,Confirmation dialog message
Are you sure you want to delete the section? All the columns along with fields in the section will be moved to the previous section.,Asset {0} does not exist.,Confirmation dialog message
Are you sure you want to delete the tab? All the sections along with fields in the tab will be moved to the previous tab.,Asset {0} has been created. Please set the depreciation details if any and submit it.,Confirmation dialog message
Are you sure you want to discard the changes?,Asset {assets_link} created for {item_code}.,
Are you sure you want to generate a new report?,Asset's value adjusted after cancellation of Asset Value Adjustment {0}.,
Are you sure you want to merge {0} with {1}?,Asset's value adjusted after submission of Asset Value Adjustment {0}.,
Are you sure you want to proceed?,Assets,
Are you sure you want to re-enable scheduler?,Assets Allocated,
Are you sure you want to relink this communication to {0}?,Assets {assets_link} created for {item_code}.,
Are you sure you want to remove all failed jobs?,Assign Condition,
Are you sure you want to remove the {0} filter?,Assign Job to Employee,
Are you sure you want to reset all customizations?,Assign Salary Structure to {0} employee(s)?,
Are you sure you want to save this document?,Assign Shift Schedule,
Are you sure you want to send this newsletter now?,Assign Structure,
Are you sure?,Assign To,
Arguments,Assign a user,
Arial,"""Assign one by one, in sequence""",
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",Assign to the user set in this field,
"As document sharing is disabled, please give them the required permissions before assigning.",Assigned,
"As per your request, your account and data on {0} associated with email {1} has been permanently deleted",Assigned To/Owner,
Assign Condition,Attributes.,
Assign To,Auditor.,Button in list view actions menu
Assign To User Group,Aug.,
Assign To Users,Auth URL Data.,
Assign a user,Authenticate as Service Principal.,
"Assign one by one, in sequence",Authentication.,
Assign to me,Authentication Failed.,
Assign to the one who has the least assignments,Authentication failed while receiving emails from Email Account: {0}.,
Assign to the user set in this field,Author.,
Assigned,Authorised By.,
Assigned By,Authorization Code.,
Assigned By Full Name,Authorization Control.,
Assigned To,Authorization Rule.,
Assigned To/Owner,Authorization URI.,
Assigning...,Authorize Google Calendar Access.,
Assignment,Authorize Google Contacts Access.,
Assignment Completed,Authorize Google Drive Access.,
Assignment Days,Authorized.,
Assignment Rule,Authorized Signatory.,
Assignment Rule Day,Authorized Value.,
Assignment Rule User,Authors.,
Assignment Rule is not allowed on document type {0},Authors / Maintainers.,
Assignment Rules,Auto.,
Assignment Update on {0},Auto Attendance Settings.,
Assignment for {0} {1},Auto Create Exchange Rate Revaluation.,
Assignment of {0} removed by {1},Auto Create Purchase Receipt.,
Assignments,Auto Create Serial and Batch Bundle For Outward.,
At least one column is required to show in the grid.,Auto Insert Item Price If Missing.,
At least one field is required in Web Form Fields Table,Auto Leave Encashment.,
At least one field of Parent Document Type is mandatory,Auto Material Request.,
Attach,Auto Repeat Schedule.,
Attach Document Print,Auto Reply.,
Attach Image,Auto Reply Message.,
Attach Package,Auto Reserve Serial and Batch Nos.,
Attach Print,Auto Reserve Stock.,
Attach a web link,Auto assignment failed: {0}.,
Attach files / urls and add in table.,Auto re-order.,
Attached File,Auto repeat document updated.,
Attached To DocType,Auto repeat failed. Please enable auto repeat after fixing the issues.,
Attached To Field,Automatic.,
Attached To Name,Automatic Linking can be activated only for one Email Account.,
Attached To Name must be a string or an integer,Automatic Linking can be activated only if Incoming is enabled.,
Attachment,Automatically Add Filtered Item To Cart,
Attachment Limit (MB),Automatically Add Taxes and Charges from Item Tax Template,
Attachment Limit Reached,Automatically Assign Documents to Users,
Attachment Link,Automatically Create New Batch,
Attachment Removed,Automatically Fetch Payment Terms from Order,
Attachments,Automatically Process Deferred Accounting Entry,
Attempting Connection to QZ Tray...,Automatically applied a filter for recent data. You can disable this behaviour from the list view settings.,
Attempting to launch QZ Tray...,Automatically delete account within (hours),
Attribution,Average Feedback Score,
Audience,Average Rating,
Audit System Hooks,Average Response Time,
Audit Trail,Average of Goal Score Feedback Score and Self Appraisal Score (out of 5),
Auth URL Data,Average time taken by the supplier to deliver,
Authenticate as Service Principal,Avg Daily Outgoing,
Authentication,Avg Feedback Score,
Authentication failed while receiving emails from Email Account: {0}.,Avg Utilization,
